epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.92425,2.60106,5.14691,2.97528,0.00124,0.33333,0.00873,0.00206,3.66836,3.84964,3.10962,0,0,0
2,7.41017,1.69384,4.58014,1.92039,0.00125,0.33333,0.01276,0.0016,3.68634,3.88207,3.13684,1.28753e-05,1.28753e-05,1.28753e-05
3,8.75714,3.0453,5.9773,2.83796,0.00124,0.33333,0.00754,0.00109,3.71038,3.91782,3.1934,2.29212e-05,2.29212e-05,2.29212e-05
4,10.1726,0.90621,4.86541,1.325,0.00122,0.33333,0.01005,0.00129,3.72988,3.95715,3.23142,3.01376e-05,3.01376e-05,3.01376e-05
5,11.2352,2.17373,5.28641,2.33674,0.00123,0.33333,0.01106,0.00139,3.76854,3.94947,3.27151,3.45246e-05,3.45246e-05,3.45246e-05
6,12.8605,0.89999,4.90852,1.49527,0.00122,0.33333,0.01442,0.00362,3.33551,3.68355,2.81497,3.60822e-05,3.60822e-05,3.60822e-05
7,15.5071,0.83022,4.03492,1.59045,0.00244,0.66667,0.02844,0.01106,2.71692,3.38829,2.36211,3.48104e-05,3.48104e-05,3.48104e-05
8,17.4999,1.06824,4.61421,1.65486,0.00246,0.66667,0.03473,0.01677,2.28186,3.28382,2.12647,3.07092e-05,3.07092e-05,3.07092e-05
9,18.9366,0.40182,3.64411,1.18143,0.00252,0.66667,0.03712,0.02191,2.0306,3.21123,2.00916,2.37786e-05,2.37786e-05,2.37786e-05
10,20.0657,0.73582,3.72256,1.34187,0.00252,0.66667,0.04582,0.0317,1.94127,3.1684,1.95963,1.40185e-05,1.40185e-05,1.40185e-05
